Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Biofrontera Ag ADR,BFRA,20200911,9.9,10.75,8.25,8.78,31919300
Business First Bancshares Inc,BFST,20200911,15.2,15.275,15,15.05,35300
Bgc Partners Cl A,BGCP,20200911,2.47,2.47,2.36,2.37,1834800
Big 5 Sporting,BGFV,20200911,6.2,6.4,5.9666,6.08,889000
Beigene Ltd Ads,BGNE,20200911,239.99,251,235.745,249.59,286900
Ishares Global Green Bond ETF,BGRN,20200911,55.31,55.4825,55.31,55.4825,3600
Blue Hat Interactive Entertainment Tech,BHAT,20200911,1.04,1.12,1.04,1.08,82200
Brighthouse Financial Inc,BHF,20200911,29.52,29.89,29.04,29.51,477200
Brighthouse Financial Inc 6.25% Junior,BHFAL,20200911,26.7784,26.89,26.56,26.6689,10200
Brighthouse Financial Inc,BHFAO,20200911,26.95,26.95,26.54,26.6,29400
Brighthouse Financial Inc Dep Shs Repstg 1/1000T,BHFAP,20200911,26.89,26.89,26.3498,26.45,3100
Biohitech Global Inc,BHTG,20200911,1.26,1.29,1.225,1.27,101100
Ultra Nasdaq Biotech Proshares,BIB,20200911,62.91,64.04,61.545,62.63,106800
Baidu Inc,BIDU,20200911,119.97,122.14,118.86,120.62,2322100
Bigcommerce Holdings Inc,BIGC,20200911,83.5,85,80.08,82.87,1793100
Biogen Inc,BIIB,20200911,267.93,271,266.685,269.91,846100
Bilibili Inc ADR,BILI,20200911,43.77,44.44,42.3844,43.02,2846700
NF Energy Saving Corp,BIMI,20200911,1.72,1.8,1.72,1.75,49000
Biocept Inc,BIOC,20200911,3.92,3.9353,3.46,3.61,1101500
Biolase Inc,BIOL,20200911,0.295,0.345,0.2723,0.3013,8384400
Ultrashort Biotechnology Proshares,BIS,20200911,35.29,36.1,34.61,35.39,70500
Gaming ETF Vaneck,BJK,20200911,39.11,39.11,38.4024,38.79,8900
Bj's Restaurants Inc,BJRI,20200911,36.86,37.03,33.7,35.01,828700
Blackrock Cptl Invt,BKCC,20200911,2.68,2.7,2.58,2.62,114600
Blueknight Energy LP,BKEP,20200911,1.41,1.4261,1.3701,1.4,67400
Blueknight Srs A Uts,BKEPP,20200911,5.81,5.9,5.81,5.88,4000
Booking Holdings Inc,BKNG,20200911,1813.52,1835.015,1769.98,1783.74,383100
Bank of So Car Cp,BKSC,20200911,16.41,16.51,16.18,16.5048,3000
Bio-Key Intl Inc,BKYI,20200911,0.48,0.49,0.45,0.4674,1624600
Blackline Inc,BL,20200911,83.89,84.486,79.65,80.01,576700
Blue Bird Corp,BLBD,20200911,11.82,11.96,11.52,11.93,62600
