Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Immunogen Inc,IMGN,20200911,3.73,3.94,3.68,3.87,1801400
Ingles Markets Inc,IMKTA,20200911,39.89,40.06,39.14,39.9,75200
Immutep Ltd ADR,IMMP,20200911,1.6,1.63,1.48,1.61,436900
Immersion Corp,IMMR,20200911,8.33,8.44,8.27,8.34,487600
Immunomedics Inc,IMMU,20200911,42.4,42.82,41.84,42.25,1537700
Chipmos Tech,IMOS,20200911,19.11,19.36,19.11,19.2174,14900
Imara Inc,IMRA,20200911,22.85,24.96,21.56,21.84,24100
Immuron Ltd,IMRN,20200911,7.72,7.9286,7.62,7.74,20200
Immuron Ltd WT,IMRNW,20200911,1.65,1.85,1.65,1.795,1500
Integrated Media Technology,IMTE,20200911,3.675,3.676,3.524,3.65,2600
Immatics NV,IMTX,20200911,9.25,9.34,9.02,9.12,62300
Immatics NV WT,IMTXW,20200911,3.1,3.1,3.0162,3.0162,1700
Immunic Inc,IMUX,20200911,16.81,17.4799,15.91,16.23,538900
Imv Inc,IMV,20200911,4.38,4.45,4.15,4.3,109800
Immunovant Inc.,IMVT,20200911,37.46,38.26,37.03,37.54,286100
International Money Express Inc,IMXI,20200911,16.53,16.9766,16.47,16.54,408800
Insu Acquisition Corp. II,INAQU,20200911,10.95,10.95,10.5,10.6723,3400
First Internet Bcp,INBK,20200911,15.75,16.34,15.75,15.89,45000
First Internet Bancorp,INBKL,20200911,23.97,24.1,23.97,24.1,700
First Internet Bancorp 6.0% Fixed-To-Floating Ra,INBKZ,20200911,23.99,23.99,23.8,23.8,500
Inhibrx Inc,INBX,20200911,17.04,17.62,16.95,17.1,39300
Incyte Corp,INCY,20200911,89.04,90.35,87.41,88,803300
Independent Bk Corp,INDB,20200911,57,57.02,55.39,56.18,257100
India 50 Ishares ETF,INDY,20200911,35.16,35.3,35.0203,35.13,25600
Infinity Pharmaceuti,INFI,20200911,1.04,1.09,1.03,1.03,387000
Infinera Corp,INFN,20200911,6.15,6.275,6.11,6.26,2508300
Legg Global Infrastructure ETF,INFR,20200911,28.0183,28.0183,27.92,27.92,300
Inogen Inc,INGN,20200911,27.45,27.7448,26.57,27.08,202000
Inmune Bio Inc,INMB,20200911,9.9,10.15,9.78,9.84,105300
Inmode Ltd,INMD,20200911,34.11,35,33.2,33.93,403500
Inovio Pharma,INO,20200911,9.79,10.3,9.58,10.08,9468500
Innodata Inc,INOD,20200911,2,2.1,1.96,2.1,65300
Inovalon Hlds Cm A,INOV,20200911,24.29,24.42,23.8,24.03,271200
Inpixon,INPX,20200911,1.07,1.09,1.04,1.07,1971800
Inspired Entertainment Inc,INSE,20200911,3.37,3.37,3.1301,3.19,62900
Inseego Corp,INSG,20200911,10.86,11.0686,10.7,10.93,1583700
Insmed Inc,INSM,20200911,28.68,29.45,28.25,28.36,497600
Insurance Acquisition Corp Cl A,INSU,20200911,13.1,13.2,12.22,12.77,198600
Insurance Acquisition Corp WT,INSUW,20200911,3.67,3.67,3.4,3.5,51400
Intel Corp,INTC,20200911,49.26,50.05,48.95,49.28,29333500
Intergroup Cp The,INTG,20200911,31.5,31.5,30.36,30.89,800
Intuit Inc,INTU,20200911,323.82,325.35,311.41,315,955100
Innoviva Inc,INVA,20200911,11.64,11.6973,11.35,11.47,402500
Identiv Inc,INVE,20200911,5.75,5.85,5.6,5.79,146200
Innerworkings Inc,INWK,20200911,2.82,2.85,2.82,2.84,152200
Inozyme Pharma Inc,INZY,20200911,24.73,25,24.01,24.23,56400
Ionis Pharmaceuticals,IONS,20200911,51.71,52.3,50.81,51.97,613600
Innospec Inc,IOSP,20200911,69.03,69.03,66.79,67.12,121000
Iovance Biotherapeutics Inc,IOVA,20200911,31.95,32.48,31.545,31.7,683800
Inter Parfums Inc,IPAR,20200911,40.84,41.53,40.44,40.7,188900
Professional Diversity Network Inc,IPDN,20200911,0.91,0.9198,0.85,0.9198,69600
Ipg Photonics Corp,IPGP,20200911,159.11,162.58,157.49,158.53,234800
Innate Pharma S.A. Ads,IPHA,20200911,4.05,4.05,3.83,3.92,9000
Intl Buyback Achievers Invesco ETF,IPKW,20200911,32.2667,32.3143,32.1,32.24,7400
Interstate Power & Light Company Perp Prd Se,IPLDP,20200911,25.655,25.7798,25.6488,25.67,10100
Ideal Power Inc,IPWR,20200911,5.59,5.59,5.08,5.2,21900
Iqiyi Inc ADR,IQ,20200911,21.5,21.72,20.97,21.32,4612900
Irobot Corp,IRBT,20200911,78.58,80.63,76.34,77.02,902200
Irsa Propiedades Ads,IRCP,20200911,7.87,8.06,7.87,8.05,6200
Iridium Comm Inc,IRDM,20200911,28.07,28.1646,27.54,27.77,690700
Iridex Cp,IRIX,20200911,1.9,2,1.885,1.9,17500
Iradimed Cp,IRMD,20200911,21.98,22.41,21.88,22.25,43300
If Bancorp Inc,IROQ,20200911,15.76,16.13,15.56,15.66,2600
Irhythm Technologies Inc,IRTC,20200911,212.77,215.94,207.57,210.29,210600
Ironwood Pharmaceuti,IRWD,20200911,9.64,9.8,9.57,9.73,1083200
Investors Bancorp,ISBC,20200911,7.73,7.78,7.63,7.725,1158100
Invesco Developed Ex-US ETF,ISDX,20200911,23.3,23.39,23.2204,23.3209,14200
Iveric Bio Inc,ISEE,20200911,4.92,4.985,4.868,4.94,655800
Invesco Emerging Markets ETF,ISEM,20200911,23.65,23.71,23.59,23.6,2100
1-3 Year Intl Treas Bond Ishares ETF,ISHG,20200911,81.9129,82.08,81.9129,82.08,500
Insignia Systems,ISIG,20200911,0.6586,0.67,0.6099,0.61,60900
Image Sensing Syst,ISNS,20200911,3.81,3.87,3.8,3.81,2100
Intuitive Surg Inc,ISRG,20200911,713.83,715.53,697.99,702.54,433400
Innovative Sol&Sup,ISSC,20200911,8.08,8.09,7.835,8.01,137700
1-5 Year USD Bond Ishares Core ETF,ISTB,20200911,51.54,51.63,51.51,51.54,437900
Investar Holding,ISTR,20200911,13.9,13.9334,13.72,13.75,16600
Industrial Tech Acquisitions Inc,ITACU,20200911,9.97,9.995,9.96,9.99,42500
Intra-Cellular Ther,ITCI,20200911,28.1,29.13,26.61,27.65,13409200
Iteris Inc,ITI,20200911,4.27,4.27,4.14,4.16,105500
Investors Title Company,ITIC,20200911,132.87,136.26,132.87,134,5100
Itamar Medical Ltd ADR,ITMR,20200911,20.79,20.91,19.71,20.75,19100
Iteos Therapeutics Inc,ITOS,20200911,29.5,31.41,28.07,29.67,240600
Itron Inc,ITRI,20200911,58.38,58.535,57.35,58.08,367700
Iterum Therapeutics Plc,ITRM,20200911,0.6353,0.6353,0.59,0.6,110100
Ituran Location,ITRN,20200911,13.22,13.46,13.205,13.37,11200
Invesco Strategic US ETF,IUS,20200911,27.14,27.15,26.96,26.96,12400
USD Bond Market Total Ishares Core ETF,IUSB,20200911,54.55,54.625,54.45,54.48,411400
S&P US Growth Ishares Core ETF,IUSG,20200911,79.71,79.8844,78.16,79,378500
Invesco US Small Company ETF,IUSS,20200911,22.54,22.54,22.28,22.41,2900
S&P US Value Ishares Core ETF,IUSV,20200911,54.95,55.2,54.56,54.98,455300
Inventiva S.A. ADR,IVA,20200911,11.72,11.81,11.36,11.8,3300
Intevac Inc,IVAC,20200911,6.1,6.42,5.95,6.05,116700
Total Intl Stock Ishares Core MSCI ETF,IXUS,20200911,59.08,59.22,58.66,58.94,1308300
Izea Inc,IZEA,20200911,1,1.01,0.9243,0.9479,1449600
Jack IN The Box Inc,JACK,20200911,85.61,85.61,80.5,82.47,745900
Jaguar Health Inc,JAGX,20200911,0.3601,0.4061,0.3517,0.406,7889500
Jakks Pacific Inc,JAKK,20200911,4.12,4.25,4.0301,4.12,99500
Jamf Holding Corp,JAMF,20200911,33.93,34.4,32.55,33.06,364900
Janone Inc,JAN,20200911,6.12,6.3143,5.77,5.91,57700
Jazz Pharma Plc,JAZZ,20200911,139.85,140.97,135.17,136.8,1000500
J B Hunt Transport,JBHT,20200911,136.94,137.68,134.23,135.12,760700
Jetblue Airways Cp,JBLU,20200911,12.29,12.47,12.15,12.34,6670800
John B Sanfilippo,JBSS,20200911,77.19,77.2,75.92,76.68,39900
J2 Global Inc,JCOM,20200911,71.3229,72.59,70.8612,72.35,889200
Commun Systems Inc,JCS,20200911,4.17,4.22,4.08,4.08,16500
Jewett-Cameron Trd,JCTCF,20200911,7.52,7.52,7.27,7.27,1400
Jd.com Inc Ads,JD,20200911,75.18,76.19,73.33,74.18,10572200
Jiayin Group Inc ADR,JFIN,20200911,2.54,2.6763,2.51,2.55,57100
8I Enterprises Acquisition Corp,JFK,20200911,10.35,10.41,10.3,10.3,59800
8I Enterprises Acquisition Corp Right,JFKKR,20200911,1.12,1.12,1.0499,1.05,11100
8I Enterprises Acquisition Corp WT,JFKKW,20200911,1.58,1.62,1.545,1.612,69200
9F Inc ADR,JFU,20200911,1.26,1.28,0.95,1.01,7364000
Aurora Mobile Ltd ADR,JG,20200911,1.76,1.81,1.73,1.74,59100
J J Snack Foods,JJSF,20200911,136.48,137.06,133.71,134.65,87700
Jack Henry & Assoc,JKHY,20200911,156.75,157.49,154.16,155.78,316100
Mstar Mid-Cap Value Ishares ETF,JKI,20200911,133.8,134.1955,133.227,134.0195,2900
JMP Group Llc 7.25% Senior Notes Due 2027,JMPNL,20200911,22.95,23.0225,22.8542,22.8542,1600
JMP Group Llc 6.875% Senior Notes Due 2029,JMPNZ,20200911,21.7702,21.875,21.74,21.7709,6900
Jounce Therapeutics Inc,JNCE,20200911,7.95,8.33,7.9201,8.29,609300
51Job Inc,JOBS,20200911,66.13,67.1,65.885,66.46,76500
Johnson Outdoors,JOUT,20200911,85.99,86.6,84.58,84.75,32100
China Finance Online,JRJC,20200911,7.76,7.76,7.575,7.61,3200
Jerash Holdings Inc,JRSH,20200911,4.7721,4.83,4.7107,4.82,11500
James River Gp HD,JRVR,20200911,48.52,48.79,46.8,47.13,97200
SLM Cp 6% Sr Nt,JSM,20200911,23.24,23.45,22.6904,23.11,17900
Janus Small/Midcap Growth ETF,JSMD,20200911,50.1945,50.5394,49.7,49.9439,6900
Janus Smallcap Growth ETF,JSML,20200911,47.12,47.1599,46.775,46.775,2100
Coffee Holding Company,JVA,20200911,3.56,3.64,3.35,3.585,23500
The Joint Corp,JYNT,20200911,18.4,18.43,17.5,17.56,48500
Kala Pharmaceuticals Inc,KALA,20200911,9,9.04,8.54,8.77,841400
Kaiser Aluminum,KALU,20200911,57.99,59.56,57.05,57.19,80200
Kalvista Pharmaceuticals Inc,KALV,20200911,14.05,14.46,12.65,13.61,25200
Kimball Intl Cl B,KBAL,20200911,10.89,10.915,10.69,10.81,165400
Kbl Merger Corp IV,KBLM,20200911,10.925,11.01,10.925,10.925,600
Kbl Merger Corp IV Right,KBLMR,20200911,0.22,0.2898,0.22,0.28,12900
Kbl Merger Corp IV WT,KBLMW,20200911,0.29,0.29,0.2521,0.28,63600
Kubient Inc,KBNT,20200911,3.98,3.99,3.7,3.8,257600
Kubient Inc WT,KBNTW,20200911,0.93,0.98,0.8201,0.92,30500
Kbs Fashion Gp Ltd,KBSF,20200911,1.76,1.94,1.71,1.89,56800
KBW Bank Invesco ETF,KBWB,20200911,39,39.54,38.79,39.46,410000
KBW High Dividend Yield Financial Invesco ETF,KBWD,20200911,13.62,13.64,13.48,13.6,109400
KBW Property & Casualty Insurance Invesco ETF,KBWP,20200911,58.01,58.6267,57.8,58.17,8200
KBW Regional Banking Invesco ETF,KBWR,20200911,34.06,34.079,33.6266,33.9881,7100
KBW Premium Yield Equity REIT Invesco ETF,KBWY,20200911,18.25,18.28,17.7152,17.86,284900
Kingsoft Cloud Holdings Limited American Deposit,KC,20200911,31.05,32.29,31.05,32.12,497400
Kcap Financial Inc 6.125% Notes Due 2022,KCAPL,20200911,24.65,24.7,24.6,24.7,4300
Kimball Electrnc,KE,20200911,12.66,12.81,12.52,12.65,45800
Kelly Svcs Cl A,KELYA,20200911,17.16,17.25,16.81,16.88,102400
Kelly Services Inc Cl B,KELYB,20200911,18.83,19.2724,18.1175,18.2,13600
Kewaunee Scientifi,KEQU,20200911,9.01,9.15,9.01,9.05,3000
Akerna Corp Cl A,KERN,20200911,4.61,4.7,4.5565,4.65,37300
Akerna Corp WT,KERNW,20200911,0.46,0.52,0.44,0.49,58300
Kentucky First Fed,KFFB,20200911,6.25,6.25,6.04,6.04,800
Kforce Inc,KFRC,20200911,33.64,33.92,33.52,33.75,105900
Kraft Heinz Company,KHC,20200911,31.66,32.17,31.24,31.71,7068300
Orthopediatrics Corp,KIDS,20200911,42.8,44.93,42.25,42.57,326900
Kindred Biosciences,KIN,20200911,4.25,4.32,4.1208,4.18,143100
Kingstone Cos Inc,KINS,20200911,5.96,5.96,5.8,5.8,21200
Kirkland's Inc,KIRK,20200911,7.62,7.68,7,7.22,1223800
K L A-Tencor Corp,KLAC,20200911,174.87,176.52,171.31,171.94,1318800
Kaleido Biosciences Inc,KLDO,20200911,5.63,5.99,5.2,5.32,122500
Kulicke and Soffa,KLIC,20200911,23.1,23.48,22.78,22.93,240400
Klx Energy Services Holdings Inc,KLXE,20200911,5.32,5.4099,4.7,4.84,274300
Kamada Ltd,KMDA,20200911,8.93,9.16,8.85,9.08,196300
Kandi Techs Group,KNDI,20200911,6,6.18,5.84,6.1,1318000
Kiniksa Pharmaceuticals Ltd,KNSA,20200911,15.52,16.15,15.52,15.88,318800
Kinsale Capital Group Inc,KNSL,20200911,190.38,192.37,186.68,187.93,81200
Kodiak Sciences Inc,KOD,20200911,49.64,51,48.21,49.06,154400
Kopin Cp,KOPN,20200911,1.29,1.35,1.26,1.27,231300
Corvus Gold Inc,KOR,20200911,2.81,2.94,2.81,2.87,45000
Koss Cp,KOSS,20200911,2,2.18,1.99,2.08,35800
Karyopharm Therapeut,KPTI,20200911,14.72,14.8,14.06,14.2,1246100
36Kr Holdings Inc ADR,KRKR,20200911,2.76,2.84,2.61,2.79,66700
G-X Conscious Companies ETF,KRMA,20200911,24.13,24.13,23.83,23.9787,1313000
Repro Med Sys Inc,KRMD,20200911,7.54,7.77,7.53,7.6,226000
Kornit Digital Ord,KRNT,20200911,60.7,61.23,59.675,60.26,217000
Kearny Financial,KRNY,20200911,7.37,7.43,7.25,7.3,228600
Keros Therapeutics Inc,KROS,20200911,47.25,47.95,43.5775,44.51,42400
Karuna Therapeutics Inc,KRTX,20200911,75.43,78.34,75.1601,75.85,148900
Kura Sushi USA Inc Cl A,KRUS,20200911,14.7,14.7,13.96,14.33,39500
Krystal Biotech Inc,KRYS,20200911,45.065,45.5,42.965,43.58,78800
Kismet Acquisition One Corp,KSMTU,20200911,10,10,9.9796,9.98,4400
Kaspien Holdings Inc.,KSPN,20200911,8.47,8.8899,8.15,8.4501,8000
Key Tronic Cp,KTCC,20200911,8.04,8.08,7.72,7.79,11300
Kratos Defns,KTOS,20200911,19.64,19.79,19.37,19.64,824700
Kitov Pharma Ltd.,KTOV,20200911,4.23,4.28,3.971,4.2,484000
Kitov Pharamceuti WT,KTOVW,20200911,0.08,0.095,0.0758,0.076,87900
Kintara Therapeutics Inc.,KTRA,20200911,1.56,1.6,1.5,1.6,403300
Kura Oncology,KURA,20200911,26.98,28,26.87,27.38,836000
K V H Inds Inc,KVHI,20200911,8.37,8.5,8.26,8.36,41600
Kaixin Auto Holdings,KXIN,20200911,0.51,0.6,0.49,0.53,233700
Kymera Therapeutics Inc,KYMR,20200911,29.08,32.2999,28.53,31.19,181000
Kazia Therapeutics Ltd,KZIA,20200911,6.98,6.98,6.6,6.71,16200
Kezar Life Sciences Inc,KZR,20200911,4.66,4.84,4.64,4.67,160600
Leisure Acquisition Corp,LACQ,20200911,10.47,10.47,10.47,10.47,200
Leisure Acquisition Corp Unit,LACQU,20200911,10.65,10.65,10.65,10.65,300
Leisure Acquisition Corp WT,LACQW,20200911,0.4,0.45,0.4,0.4,3300
Lakeland Inds Inc,LAKE,20200911,21.47,23.29,21.38,22,1091700
Lamar Advertis A,LAMR,20200911,64.32,64.32,62.78,62.93,499600
Lancaster Colony Cor,LANC,20200911,175.8,176.8,172.84,173.66,80900
Gladstone Land Corp,LAND,20200911,15.33,15.33,15,15.01,106800
Gladstone Land Corp,LANDP,20200911,26.75,26.95,26.07,26.23,3700
Landmark Bancorp Inc,LARK,20200911,23.98,23.98,22.9553,23.49,2600
Nlight Inc,LASR,20200911,20.7,20.7,19.74,19.96,150500
Union Acquisition Corp. II,LATN,20200911,9.99,9.99,9.945,9.9634,3600
Union Acquisition Corp. II WT,LATNW,20200911,0.6,0.6,0.411,0.545,22900
Laureate Education Inc,LAUR,20200911,14.23,15.46,13.14,13.29,4991900
Lawson Products IN,LAWS,20200911,40.58,40.615,40.35,40.5,15700
Lazydays Holdings Inc,LAZY,20200911,13.55,14.08,13.19,13.39,69700
Lakeland Bancorp Inc,LBAI,20200911,10.59,10.7,10.52,10.61,127500
Luther Burbank Corp,LBC,20200911,9.01,9.05,8.93,9,37700
Liberty Broadbd A,LBRDA,20200911,137.28,137.28,135.28,136,171400
Liberty Broadbd C,LBRDK,20200911,138.07,138.43,136.62,137.37,721200
Liberty Global Ord A,LBTYA,20200911,21.72,21.85,21.37,21.58,1243800
Liberty Global Ord B,LBTYB,20200911,23.28,24.25,23.28,23.75,2100
Liberty Global Ord C,LBTYK,20200911,21.42,21.49,21.05,21.23,2566700
Landcadia Holdings II Inc Cl A,LCA,20200911,18.09,18.45,17.2,17.74,2641300
Landcadia Holdings II Inc Unit,LCAHU,20200911,20.36,20.9011,19.4,19.77,1800
Landcadia Holdings II Inc WT,LCAHW,20200911,6.89,6.89,6.07,6.2511,249300
Lionheart Acquisition Corp. II,LCAPU,20200911,9.99,9.99,9.975,9.975,6400
Lcnb Corp,LCNB,20200911,14.5,14.5853,14.49,14.51,11000
Lifetime Brands Inc,LCUT,20200911,10.31,10.31,8.8701,9.16,132400
Ishares ESG MSCI EM Leaders ETF,LDEM,20200911,51.25,51.25,51.06,51.2,300
FT Low Duration Strategic Focus ETF,LDSF,20200911,20.45,20.46,20.431,20.45,10900
Lands' End Inc,LE,20200911,14.09,14.09,13.4296,13.82,161300
Lincoln Elec Hld,LECO,20200911,92.35,92.955,91.59,92.72,313200
Semileds Corp,LEDS,20200911,2.81,2.9,2.6367,2.67,26400
Legacy Housing Corp,LEGH,20200911,15.1,15.29,14.63,14.63,13200
Legend Biotech Corporation ADR,LEGN,20200911,30.77,31.43,30.57,31.05,123200
First Trust Indxx Innovative Transaction & Proce,LEGR,20200911,31.97,31.97,31.495,31.6927,3000
Level One Bancorp Inc,LEVL,20200911,17.06,17.09,15.955,16,8800
Level One Bancorp Inc ADR,LEVLP,20200911,25.44,25.5,25.44,25.45,1900
Lf Capital Acquistion Corp Cl A,LFAC,20200911,10.56,10.6,10.55,10.56,9800
Lf Capital Acquistion Corp WT,LFACW,20200911,1.77,1.8,1.68,1.78,126400
Littelfuse Inc,LFUS,20200911,175.8,178.25,173.68,175.33,61300
Lifevantage Cp,LFVN,20200911,14.1,14.62,14.07,14.13,89300
Lion Group Holding Ltd ADR,LGHL,20200911,2.53,2.8,2.515,2.61,86400
Lion Group Holding Ltd WT,LGHLW,20200911,0.11,0.1146,0.104,0.1139,8700
LGI Homes Inc,LGIH,20200911,113.15,114.42,110.56,112.53,201200
Ligand Pharm,LGND,20200911,101.33,103.15,100.15,101.77,302000
LHC Group Inc,LHCG,20200911,203.45,204.86,198.82,201.11,139100
Li Auto Inc ADR,LI,20200911,16.19,16.7,16.05,16.21,3914900
Atyr Pharma Inc,LIFE,20200911,3.97,3.9803,3.57,3.59,128900
Liberty Latin America Cl A,LILA,20200911,9.19,9.23,8.66,8.9,430100
Liberty Latin America Cl C,LILAK,20200911,8.99,8.99,8.5,8.77,1558700
Lincoln Educational,LINC,20200911,6.94,7.16,6.63,6.68,168100
Lindblad Expd Hld,LIND,20200911,10.16,10.53,10,10.125,576400
Liqtech International Inc,LIQT,20200911,7.53,7.59,7.135,7.15,49600
Lumentum Hld,LITE,20200911,71.03,72.14,69.15,70.49,1668700
Live Ventures,LIVE,20200911,9.28,9.3566,8.83,8.8941,3800
Livanova Plc OR Sh,LIVN,20200911,44.4,45.24,44,44.99,813800
Livexlive Media Inc,LIVX,20200911,2.56,2.635,2.46,2.49,348600
Lizhi Inc ADR,LIZI,20200911,3.7,3.79,3.51,3.57,11200
LA Jolla Pharma,LJPC,20200911,4.21,4.21,3.87,3.97,293000
Luokung Technology Corp,LKCO,20200911,0.398,0.416,0.3723,0.3919,295600
Lakeland Finl Corp,LKFN,20200911,44.94,44.94,44.03,44.5,83000
LKQ Corp,LKQ,20200911,32.33,32.7,31.8,32.16,2803500
Lianluo Smart Ltd,LLIT,20200911,0.3904,0.4095,0.365,0.3707,345500
Limelight Networks,LLNW,20200911,5.38,5.43,4.98,5.15,2788400
Lemaitre Vascular,LMAT,20200911,31.55,31.66,30.73,30.84,65800
Limbach Holdings Inc,LMB,20200911,7.39,7.57,7.195,7.43,68400
Low Duration Opportunities ETF FT,LMBS,20200911,51.75,51.7975,51.72,51.77,783400
Lm Funding America Inc,LMFA,20200911,0.59,0.6199,0.59,0.6,180600
Lm Funding WT,LMFAW,20200911,0.0579,0.085,0.0579,0.0797,7800
Liminal Biosciences Inc.,LMNL,20200911,11.57,11.84,11.3115,11.84,26000
Limoneira Company,LMNR,20200911,16.28,16.28,15.3701,15.59,41200
Luminex Corp,LMNX,20200911,24.2,25.01,24.13,24.74,435600
Lmp Automotive Holdings Inc,LMPX,20200911,18.63,20.35,17.04,19.98,401100
Landmark Common Units,LMRK,20200911,10,10,9.9,9.95,47200
Landmark Infrastructure Partners LP,LMRKN,20200911,24.58,24.64,24.37,24.6,8100
Landmark Infrastructure Partners LP,LMRKO,20200911,24.6,24.79,24.6,24.71,2700
Landmark Inf Prf,LMRKP,20200911,24.91,25.07,24.91,24.91,2900
Limestone Bancorp Inc,LMST,20200911,10.32,10.32,10.32,10.32,2300
Landec Cp,LNDC,20200911,9.68,9.7,9.5,9.68,146200
G-X Longevity Thematic Et,LNGR,20200911,25.26,25.26,25.1054,25.1297,800
Alliant Energy Corp,LNT,20200911,52.11,52.26,51.515,51.86,2009700
Lantheus Holdings,LNTH,20200911,12.84,13.04,12.38,12.57,327900
Longevity Acquisition Corp,LOAC,20200911,10.69,10.69,10.69,10.69,700
Longevity Acquisition Corp Right,LOACR,20200911,0.2201,0.2201,0.2107,0.2107,4000
Longevity Acquisition Corp WT,LOACW,20200911,0.29,0.325,0.29,0.3199,4600
Manhattan Bridge,LOAN,20200911,3.96,3.9801,3.9,3.909,42500
Live Oak Bancsh,LOB,20200911,23.11,23.22,22.89,23.18,120700
El Pollo Loco,LOCO,20200911,17.52,17.7,16.15,16.37,313600
Logicbio Therapeutics Inc,LOGC,20200911,6.31,6.5899,6.02,6.2,30700
Logitech Int S.A.,LOGI,20200911,69.82,70.04,68.19,68.78,426200
Lonestar Resources US Inc,LONE,20200911,0.27,0.2799,0.2629,0.2725,804900
Loop Industries Inc,LOOP,20200911,12.95,13.21,12.45,12.73,93300
Grand Canyon Educati,LOPE,20200911,88.45,88.63,84.43,84.59,238700
Loral Space Comm,LORL,20200911,21.56,21.69,20.55,21.01,208400
The Lovesac Company,LOVE,20200911,29.2097,29.6399,25.98,26.43,523600
Lipocine Inc,LPCN,20200911,1.29,1.29,1.185,1.21,1456900
Lpl Financial Hld,LPLA,20200911,78.92,79.9,77.77,78.58,542600
Open Lending Corporation Cl A,LPRO,20200911,21.35,22.2994,21.03,21.4,943800
Liveperson Inc,LPSN,20200911,51.63,51.63,49.02,49.4,546800
Lightpath Tech Inc,LPTH,20200911,2.37,2.48,2.25,2.35,952900
Leap Therapeutics Inc,LPTX,20200911,1.91,2.02,1.835,1.85,370900
Liquidia Technologies Inc,LQDA,20200911,5.04,5.17,4.73,4.88,190200
Liquidity Services,LQDT,20200911,7.44,7.53,7.4,7.49,175800
Lam Research Corp,LRCX,20200911,300.54,303.336,292.28,293.99,1727300
Legg Clearbridge Large Cap Groowth ETF,LRGE,20200911,45.31,45.31,44.61,44.9398,5700
Larimar Therapeutics Inc.,LRMR,20200911,14.97,17.25,14.7,16,70600
Lifesci Acquisition Corp,LSAC,20200911,10.12,10.1291,10.071,10.071,1000
Lifesci Acquisition Corp. Unit 1 Com & 1 WT,LSACU,20200911,10.685,10.87,10.685,10.87,800
Lake Shore Bancorp,LSBK,20200911,12.35,12.42,12.115,12.42,7000
Lattice Semicond,LSCC,20200911,27.0135,27.79,26.825,27.1,672800
Landstar System,LSTR,20200911,132.52,133.74,130.57,131.4,293100
Liberty Srs XM CS A,LSXMA,20200911,34.73,34.73,34.02,34.24,604900
Liberty Srs XM CS B,LSXMB,20200911,37.5458,37.5458,37.5458,37.5458,100
Liberty Srs XM CS C,LSXMK,20200911,34.51,34.72,34,34.23,746400
Lightbridge Corp,LTBR,20200911,3.76,3.76,3.5402,3.58,40500
Lantern Pharma Inc,LTRN,20200911,15.3,19.5,15,19.24,292600
Liberty Tripadv A,LTRPA,20200911,2.28,2.28,2.14,2.18,859700
Liberty Tripadv B,LTRPB,20200911,39.5,39.5,39.32,39.32,900
Lantronix Inc,LTRX,20200911,4.57,4.785,4.295,4.48,328100
Lululemon Athletica,LULU,20200911,322.9966,322.9966,308.63,313.39,3090300
Lumos Pharma Inc.,LUMO,20200911,14.69,14.95,14.23,14.785,20800
Luna Innovations Inc,LUNA,20200911,6.11,6.21,6.11,6.19,115100
Livongo Health Inc,LVGO,20200911,126.71,127.61,120.06,121.72,1883000
Legg Low Vol HI Div ETF,LVHD,20200911,29.51,29.6897,29.41,29.58,39800
Lifeway Foods Inc,LWAY,20200911,5.32,5.635,5.27,5.6,120400
Lexinfintech Holdings Ltd,LX,20200911,6.63,6.99,6.63,6.81,1002900
Lexicon Pharmaceutcl,LXRX,20200911,1.57,1.59,1.51,1.53,828900
Lyft Inc Cl A,LYFT,20200911,29.77,31.2074,29.57,30.76,9865700
Dragon Victory Intl Ltd,LYL,20200911,1,1,0.99,0.995,3500
Lyra Therapeutics Inc,LYRA,20200911,11.86,12.3101,11.62,11.62,15400
L S I Industries,LYTS,20200911,6.54,6.57,6.32,6.35,35900
Merrimack Pharmaceuticals Inc,MACK,20200911,3.81,3.82,3.72,3.72,7400
Magal Security Syst,MAGS,20200911,3.34,3.4,3.28,3.4,6700
Manhattan Assoc,MANH,20200911,95.92,95.92,91.79,93.3,332700
Mantech Intl Cp A,MANT,20200911,73.68,74.54,73.47,73.82,240400
Marriot Int Cl A,MAR,20200911,100.94,101.11,97.39,99.26,2637900
Marathon Patent Grou,MARA,20200911,1.89,1.92,1.75,1.8,3239500
Remark Holdings Inc,MARK,20200911,1.08,1.08,1.01,1.01,1169800
Marine Petroleum U,MARPS,20200911,1.71,1.71,1.55,1.6393,17600
Masimo Corp,MASI,20200911,216.08,217.71,212.16,214.06,276900
Mattel Inc,MAT,20200911,11.18,11.19,10.96,11.01,2413400
Matthews Intl Corp,MATW,20200911,23.09,23.47,22.89,23.33,240600
Maxeon Solar Tech Ltd.,MAXN,20200911,18.71,19.55,18.2,18.87,675500
J W Mays Inc,MAYS,20200911,18.65,18.65,18.65,18.65,100
MBS Ishares ETF,MBB,20200911,110.54,110.5484,110.45,110.47,537100
Middlefield Banc,MBCN,20200911,17.85,18.68,17.66,17.74,7400
Marrone Bio Innov,MBII,20200911,1.16,1.2,1.14,1.14,82000
Merchants Bancorp,MBIN,20200911,19.91,20.15,19.665,20.06,53100
Merchants Bancorp Depositary Shares Each Represe,MBINO,20200911,24.95,25.2,24.91,25.2,12800
Merchants Bancorp [Indiana] Perp Pfd Ser A,MBINP,20200911,25.73,26.2,25.73,26.2,3900
